time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-04-23,8952.44,7041.2,7135.41,441135.65,3464224030.68,8784.96,direct,
2020-04-30,9460.77,8416.64,8784.96,541225.06,4840122270.72,9153.2,direct,
2020-05-07,10064.33,8228.22,9153.2,690163.77,6323382273.98,9317.44,direct,
2020-05-14,9943.74,9149.13,9317.44,455691.63,4377535198.89,9509.45,direct,
2020-05-21,9566.81,8639.46,9509.45,326662.99,2954694849.98,9204.62,direct,
2020-05-28,10359.02,9112.3,9204.62,303898.66,2922155726.4,9666.06,direct,
2020-06-04,9990.4,9410.33,9666.06,258612.19,2511214234.58,9891.84,direct,
2020-06-11,9970.77,8909.5,9891.84,304746.37,2869854065.72,9459.13,direct,
2020-06-18,9774.79,9179.1,9459.13,210804.18,1989045255.32,9292.94,direct,
2020-06-25,9335.65,8867.34,9292.94,220087.82,2013874888.09,9238.89,direct,
2020-07-02,9471.65,8935.9,9238.89,193301.61,1778946391.91,9439.2,direct,
2020-07-09,9441.67,9109.7,9439.2,157988.13,1460655758.72,9193.22,direct,
2020-07-16,9551.87,9029.17,9193.22,156370.31,1460010845.12,9537.24,direct,
2020-07-23,11397.48,9458.25,9537.24,419911.14,4380359615.16,11112.04,direct,
2020-07-30,12106.89,10694.22,11112.04,352277.35,3997299531.41,11752.05,direct,
2020-08-06,12074.31,11138.6,11752.05,305246.91,3564377292.93,11570.19,direct,
2020-08-13,12474.73,11284.57,11570.19,288640.6,3431903942.18,11760.37,direct,
2020-08-20,11888.72,11130.36,11760.37,306825.55,3569206971.23,11466.89,direct,
2020-08-27,12062.06,11135.52,11466.89,229750.68,2659728679.63,11397.9,direct,
2020-09-03,11469.2,9855.68,11397.9,357013.65,3694589033.35,10228.85,direct,
2020-09-10,11094.7,10215.49,10228.85,218440.85,2303792176.75,10957.1,direct,
2020-09-17,11173.88,10166.62,10957.1,189389.82,2026011830.3,10238.09,direct,
2020-09-24,10951.6,10213.75,10238.09,183472.35,1964914714.56,10779.42,direct,
2020-10-01,10926.47,10388.07,10779.42,168576.14,1793906105.04,10672.67,direct,
2020-10-08,11725.28,10541.2,10672.67,213916.59,2404296202.26,11429.3,direct,
2020-10-15,13236.39,11224.89,11429.3,274583.77,3283000179.24,12813.11,direct,
2020-10-22,13855.57,12700.74,12813.11,251338.47,3297477349.6,13285.97,direct,
2020-10-29,14258.9,12985.56,13285.97,248124.04,3375097367.44,14157.73,direct,
2020-11-05,15983.03,14114.37,14157.73,222040.01,3399929378.64,15707.08,direct,
2020-11-12,18466.1,15476.25,15707.08,340752.2,5708401776.74,17786.27,direct,
2020-11-19,19488.81,17365.08,17786.27,363640.92,6749085110.89,18725.76,direct,
2020-11-26,19911.79,16270.37,18725.76,469401.34,8490861121.98,19226.19,direct,
2020-12-03,19608.49,17669.15,19226.19,251681.76,4746843904.49,18549.92,direct,
2020-12-10,21527.36,17598.13,18549.92,301254.22,5796904887.39,21352.13,direct,
2020-12-17,24252.16,21240.41,21352.13,488816.54,11291816792.81,23239.5,direct,
2020-12-24,28990.2,22716.45,23239.5,421692.46,11073960863.46,28889.61,direct,
2020-12-31,36973.76,27957.13,28889.61,657318.38,21023429478.29,36849.86,direct,
2021-01-07,41964.96,30308.4,36849.86,848515.33,30983093247.9,37380.85,direct,
2021-01-14,40093.43,33519.59,37380.85,427403.5,15644694256.95,35501.38,direct,
2021-01-21,35619.6,28817.3,35501.38,529817.96,16877048714.89,30423.05,direct,
2021-01-28,38631.5,29905.53,30423.05,491608.0,16983907605.03,37677.34,direct,
2021-02-04,48209.59,36199.19,37677.34,549485.63,23073104497.87,44854.95,direct,
2021-02-11,52622.68,44032.66,44854.95,388825.92,18785403418.67,52154.91,direct,
2021-02-18,58348.75,44983.39,52154.91,573247.97,29748532673.03,49738.17,direct,
2021-02-25,52625.39,43061.92,49738.17,425399.46,20322940631.17,50392.55,direct,
2021-03-04,57396.59,46311.43,50392.55,352381.27,18046481405.71,55893.31,direct,
2021-03-11,61749.15,53269.13,55893.31,405972.68,23196400249.06,58909.0,direct,
2021-03-18,60077.79,51685.15,58909.0,316880.4,17953653089.89,52303.02,direct,
2021-03-25,59818.5,50406.31,52303.02,300837.88,16681363031.64,58793.8,direct,
2021-04-01,60061.51,55467.58,58793.8,203231.58,11808366227.21,55951.98,direct,
2021-04-08,64859.81,55711.07,55951.98,254910.63,15519789533.37,62964.27,direct,
2021-04-15,63826.89,52785.1,62964.27,384767.95,22184311316.02,53803.25,direct,
2021-04-22,56461.55,47073.07,53803.25,412721.84,21415395203.89,54877.94,direct,
2021-04-29,58963.84,52399.42,54877.94,303107.38,16949292972.59,57506.88,direct,
2021-05-06,59587.03,49182.89,57506.88,365355.03,20673113695.3,49504.08,direct,
2021-05-13,51554.66,29925.2,49504.08,792375.25,34536484010.5,36771.87,direct,
2021-05-20,42520.03,31157.18,36771.87,706567.49,26526360039.54,39295.08,direct,
2021-05-27,40408.95,33400.65,39295.08,364658.53,13304102214.32,37576.98,direct,
2021-06-03,39482.46,31034.35,37576.98,391068.18,13845127220.88,37391.58,direct,
2021-06-10,41307.06,34655.21,37391.58,358230.09,13679644442.43,38345.41,direct,
2021-06-17,39537.42,28908.07,38345.41,504459.97,17121757301.71,33678.64,direct,
2021-06-24,36624.75,30190.9,33678.64,374398.4,12558565372.49,35056.39,direct,
2021-07-01,35945.36,32715.18,35056.39,189397.88,6447691882.28,33880.79,direct,
2021-07-08,34658.46,31601.99,33880.79,192531.41,6372030390.13,32820.5,direct,
2021-07-15,33188.54,29320.09,32820.5,242571.52,7574612451.66,32139.48,direct,
2021-07-22,40906.09,31738.48,32139.48,315986.85,11719828411.8,40030.01,direct,
2021-07-29,42584.65,37526.24,40030.01,238328.63,9493395899.6,39738.56,direct,
2021-08-05,46763.89,37330.04,39738.56,313037.03,13563785130.12,45556.69,direct,
2021-08-12,48136.25,43786.4,45556.69,207863.83,9552297286.64,44714.54,direct,
2021-08-19,50513.83,43982.21,44714.54,193544.53,9324005826.99,48996.44,direct,
2021-08-26,49653.49,46376.81,48996.44,184765.89,8833057817.81,48840.01,direct,
2021-09-02,52919.24,43904.42,48840.01,264326.42,12955576504.46,46073.45,direct,
2021-09-09,48457.3,43511.3,46073.45,195220.5,8970122745.97,48148.45,direct,
2021-09-16,48808.0,39767.17,48148.45,252161.62,11188044769.8,43576.15,direct,
2021-09-23,45143.18,40790.67,43576.15,225081.95,9619896607.73,41539.43,direct,
2021-09-30,55656.67,41436.79,41539.43,261711.81,12791582338.55,55345.85,direct,
2021-10-07,57825.98,53391.93,55343.24,200448.43,11129851977.18,57369.0,direct,
2021-10-14,66980.66,56854.38,57369.0,275232.39,16972731322.29,66021.02,direct,
2021-10-21,66645.73,58128.18,66021.02,236617.86,14622792440.21,58464.42,direct,
2021-10-28,64283.57,58145.43,58464.42,219296.06,13488123579.31,62929.93,direct,
2021-11-04,68978.64,60130.85,62929.93,197052.29,12741855958.24,64926.06,direct,
2021-11-11,66335.42,58566.05,64926.06,211555.85,13210767044.63,60365.6,direct,
2021-11-18,60964.37,55485.59,60365.6,240101.67,13854103657.44,57175.09,direct,
2021-11-25,59437.04,53436.05,57175.09,231190.16,13069504985.59,57227.97,direct,
2021-12-02,57639.15,43563.07,57227.97,311552.01,15787496202.69,50513.04,direct,
2021-12-09,50829.41,45800.52,50513.04,248494.97,11973987848.22,48885.05,direct,
2021-12-16,49581.41,45505.02,48885.05,190039.11,9029961469.24,48614.97,direct,
2021-12-23,52079.46,46107.79,48614.97,174922.11,8660379203.23,46471.7,direct,
2021-12-30,48573.22,42510.86,46471.7,202259.06,9403130860.63,43432.51,direct,
2022-01-06,44293.83,39667.6,43432.51,257551.5,10846708769.14,43919.67,direct,
2022-01-13,44442.67,41144.83,43919.67,162174.65,6900729214.81,41674.8,direct,
