time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-10-08,395.22,334.35,341.91,2394775.4,889505155.99,379.11,direct,
2020-10-15,401.78,361.57,379.11,3440638.06,1293854478.52,391.46,multiply,BTC
2020-10-22,421.25,381.06,391.46,2631403.99,1068069630.18,388.77,direct,
2020-10-29,408.58,374.08,388.77,2970065.38,1159363503.08,402.66,direct,
2020-11-05,476.65,397.1,402.66,2099612.92,936000853.3,463.91,direct,
2020-11-12,495.61,440.46,463.91,3779323.52,1778195315.42,478.76,direct,
2020-11-19,645.6,468.97,478.81,7111264.92,3965083243.47,569.4,multiply,BTC
2020-11-26,636.06,482.39,569.4,5811234.02,3236243488.92,598.26,direct,
2020-12-03,623.7,530.82,598.26,4485432.41,2638914494.41,573.44,direct,
2020-12-10,638.73,535.92,573.44,2946273.28,1709531361.21,637.74,direct,
2020-12-17,675.88,552.44,637.74,5059374.09,3208627291.78,585.25,direct,
2020-12-24,758.27,565.82,585.25,5236945.16,3566034529.49,752.53,direct,
2020-12-31,1214.12,716.71,752.53,11555221.27,11370961500.52,1210.59,direct,
2021-01-07,1350.09,912.42,1210.59,12222817.65,13968833802.73,1129.84,direct,
2021-01-14,1439.37,1069.37,1129.84,7982948.16,10014290589.5,1377.75,direct,
2021-01-21,1475.49,1044.92,1377.75,9716657.91,12368966259.19,1241.51,direct,
2021-01-28,1670.87,1220.48,1241.51,6803768.62,9575142430.31,1667.22,direct,
2021-02-04,1838.93,1494.84,1667.22,6853124.36,11562161091.66,1743.0,direct,
2021-02-11,1875.55,1661.33,1743.0,4379586.16,7840896507.82,1851.14,direct,
2021-02-18,2038.52,1360.96,1851.14,7706564.38,13326479982.22,1625.17,direct,
2021-02-25,1672.23,1294.05,1625.17,5549804.19,8288514657.92,1568.65,direct,
2021-03-04,1878.68,1443.48,1568.65,4472084.34,7448131592.51,1795.63,direct,
2021-03-11,1943.37,1716.2,1795.63,4080558.33,7372992030.14,1823.03,direct,
